"replication","tau","estimator","window","window_left","window_right","any_accepted","all_accepted","left_endpoint_accepted","right_endpoint_accepted","n_accepted_gridpoints","n_accepted_components_grid","min_accepted_alpha","max_accepted_alpha","alpha_hat_grid","min_W","n_alpha_success_full","n_alpha_failure_full","any_accept_left_outer","any_accept_right_outer","all_accept_left_outer","all_accept_right_outer","W_minus40","W_minus30","W_30","W_40","left_tail_label","right_tail_label"
2,0.5,"Full-GMM","[-5,5]",-5,5,TRUE,FALSE,TRUE,FALSE,47,4,-5,4.8,0.200000000000003,0.021693344644786,401,0,TRUE,TRUE,FALSE,FALSE,8.57346405108681,4.9487864802899,11.7464593023053,5.37444795607444,"tail unresolved within search range","tail unresolved within search range"
2,0.5,"Full-GMM","[-10,10]",-10,10,TRUE,FALSE,TRUE,FALSE,63,14,-10,9.2,0.200000000000003,0.021693344644786,401,0,TRUE,TRUE,FALSE,FALSE,8.57346405108681,4.9487864802899,11.7464593023053,5.37444795607444,"tail unresolved within search range","tail unresolved within search range"
2,0.5,"Full-GMM","[-20,20]",-20,20,TRUE,FALSE,TRUE,TRUE,119,37,-20,20,0.200000000000003,0.021693344644786,401,0,TRUE,TRUE,FALSE,FALSE,8.57346405108681,4.9487864802899,11.7464593023053,5.37444795607444,"tail unresolved within search range","tail unresolved within search range"
2,0.5,"Full-GMM","[-40,40]",-40,40,TRUE,FALSE,FALSE,TRUE,204,80,-39.8,40,0.200000000000003,0.021693344644786,401,0,TRUE,TRUE,FALSE,FALSE,8.57346405108681,4.9487864802899,11.7464593023053,5.37444795607444,"tail unresolved within search range","tail unresolved within search range"
2,0.5,"DML-IVQR","[-3,5]",-3,5,TRUE,TRUE,TRUE,TRUE,41,1,-3,5,0.200000000000003,0.0972429902385376,401,0,TRUE,TRUE,FALSE,TRUE,5.85407688242048,6.33184199803409,1.52598594968656,4.43227681124107,"tail unresolved within search range","tail unresolved within search range"
2,0.5,"DML-IVQR","[-5,5]",-5,5,TRUE,FALSE,TRUE,TRUE,47,3,-5,5,0.200000000000003,0.0972429902385376,401,0,TRUE,TRUE,FALSE,TRUE,5.85407688242048,6.33184199803409,1.52598594968656,4.43227681124107,"tail unresolved within search range","tail unresolved within search range"
2,0.5,"DML-IVQR","[-10,10]",-10,10,TRUE,FALSE,FALSE,TRUE,75,3,-5.6,10,0.200000000000003,0.0972429902385376,401,0,TRUE,TRUE,FALSE,TRUE,5.85407688242048,6.33184199803409,1.52598594968656,4.43227681124107,"tail unresolved within search range","tail unresolved within search range"
2,0.5,"DML-IVQR","[-20,20]",-20,20,TRUE,FALSE,FALSE,TRUE,126,4,-19.6,20,0.200000000000003,0.0972429902385376,401,0,TRUE,TRUE,FALSE,TRUE,5.85407688242048,6.33184199803409,1.52598594968656,4.43227681124107,"tail unresolved within search range","tail unresolved within search range"
2,0.5,"DML-IVQR","[-40,40]",-40,40,TRUE,FALSE,TRUE,TRUE,235,11,-40,40,0.200000000000003,0.0972429902385376,401,0,TRUE,TRUE,FALSE,TRUE,5.85407688242048,6.33184199803409,1.52598594968656,4.43227681124107,"tail unresolved within search range","tail unresolved within search range"
2,0.9,"Oracle-GMM","[-3,5]",-3,5,TRUE,TRUE,TRUE,TRUE,41,1,-3,5,3,0.0412325203425919,401,0,TRUE,TRUE,FALSE,TRUE,6.05003609586942,6.16981690085172,1.4015596532546,0.814032086154924,"tail unresolved within search range","tail unresolved within search range"
