"replication","n","kappa","tau","estimator","alpha","W","critical_value","accepted","status"
1,500,0.1,0.1,"DML-IVQR",1,2.31885877633148,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",1.05,4.50482780519268,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",1.1,4.20605527774345,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",1.15,3.48128308087144,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",1.2,3.08906848463365,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",1.25,2.84204135706051,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",1.3,0.605303312147236,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",1.35,0.706087560917466,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",1.4,1.09393558626183,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",1.45,0.0833199691318299,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",1.5,0.0782515987539532,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",1.55,0.126050752449019,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",1.6,0.0312848348210717,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",1.65,0.0275097598609698,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",1.7,0.246987014006535,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",1.75,0.438815780305959,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",1.8,0.0755121257096068,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",1.85,0.386190274964294,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",1.9,0.412492307558211,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",1.95,0.0423650427866603,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",2,0.152020149910207,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",2.05,0.0146079699371901,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",2.1,0.00171703952997747,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",2.15,0.0116722432748351,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",2.2,0.0087406158658723,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",2.25,0.00190981926613657,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",2.3,0.00714379930993984,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",2.35,0.00179770918681861,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",2.4,0.00242760911151908,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",2.45,0.00753772014065088,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",2.5,0.00456300991166612,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",2.55,0.169851012204989,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",2.6,0.0503862902749921,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",2.65,0.00706444410691105,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",2.7,0.0217855160302923,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",2.75,0.188167758104197,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",2.8,0.388526023094918,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",2.85,0.388038316659908,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",2.9,0.129504942397468,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",2.95,0.0944208210178086,5.99146454710798,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",3,0.172501984751836,5.99146454710798,TRUE,"OK"
1,500,0.1,0.5,"Oracle-GMM",-1,4.37451397000845,5.99146454710798,TRUE,"OK"
1,500,0.1,0.5,"Oracle-GMM",-0.95,4.49329470284219,5.99146454710798,TRUE,"OK"
1,500,0.1,0.5,"Oracle-GMM",-0.9,4.44509080283767,5.99146454710798,TRUE,"OK"
1,500,0.1,0.5,"Oracle-GMM",-0.85,4.00711805701256,5.99146454710798,TRUE,"OK"
1,500,0.1,0.5,"Oracle-GMM",-0.8,4.04544723681778,5.99146454710798,TRUE,"OK"
1,500,0.1,0.5,"Oracle-GMM",-0.75,5.14652828089612,5.99146454710798,TRUE,"OK"
1,500,0.1,0.5,"Oracle-GMM",-0.7,3.90256270835387,5.99146454710798,TRUE,"OK"
1,500,0.1,0.5,"Oracle-GMM",-0.65,4.60582086209191,5.99146454710798,TRUE,"OK"
1,500,0.1,0.5,"Oracle-GMM",-0.6,6.98522445652791,5.99146454710798,FALSE,"OK"
1,500,0.1,0.5,"Oracle-GMM",-0.55,4.51060467137854,5.99146454710798,TRUE,"OK"
1,500,0.1,0.5,"Oracle-GMM",-0.5,5.25354181313627,5.99146454710798,TRUE,"OK"
1,500,0.1,0.5,"Oracle-GMM",-0.45,6.41771840493412,5.99146454710798,FALSE,"OK"
1,500,0.1,0.5,"Oracle-GMM",-0.4,4.83505502724579,5.99146454710798,TRUE,"OK"
1,500,0.1,0.5,"Oracle-GMM",-0.35,5.57692001622817,5.99146454710798,TRUE,"OK"
1,500,0.1,0.5,"Oracle-GMM",-0.3,6.96746538386983,5.99146454710798,FALSE,"OK"
1,500,0.1,0.5,"Oracle-GMM",-0.25,5.94703501108245,5.99146454710798,TRUE,"OK"
1,500,0.1,0.5,"Oracle-GMM",-0.2,6.88526554723952,5.99146454710798,FALSE,"OK"
1,500,0.1,0.5,"Oracle-GMM",-0.15,6.72704319619952,5.99146454710798,FALSE,"OK"
1,500,0.1,0.5,"Oracle-GMM",-0.1,3.98399288502342,5.99146454710798,TRUE,"OK"
1,500,0.1,0.5,"Oracle-GMM",-0.0499999999999999,8.05767160054992,5.99146454710798,FALSE,"OK"
1,500,0.1,0.5,"Oracle-GMM",0,5.19986426868484,5.99146454710798,TRUE,"OK"
1,500,0.1,0.5,"Oracle-GMM",0.05,7.27116967076157,5.99146454710798,FALSE,"OK"
1,500,0.1,0.5,"Oracle-GMM",0.1,6.56930961559384,5.99146454710798,FALSE,"OK"
1,500,0.1,0.5,"Oracle-GMM",0.15,4.29539849093646,5.99146454710798,TRUE,"OK"
1,500,0.1,0.5,"Oracle-GMM",0.2,4.05453641206836,5.99146454710798,TRUE,"OK"
1,500,0.1,0.5,"Oracle-GMM",0.25,6.15100402077419,5.99146454710798,FALSE,"OK"
