"replication","n","kappa","first_stage_F","partial_R2","beta_Z1","beta_Z2","R2_restricted","R2_unrestricted","RSS_restricted","RSS_unrestricted","nested_F","partial_R2_from_model_R2","cov_z1_d_latent","cov_z2_d_latent","status"
14,500,0.25,1.55329592830072,0.00633860451628119,0.0190681238031943,0.00701933325601053,0.00730562536832058,0.013597922414648,65.1898034833496,64.7765911005746,1.55329592830072,0.00633860451628128,0.210361837910958,0.197032516152716,"OK"
14,500,0.1,0.441519155130648,0.00180993853223432,0.00678566027612546,-0.00822382298647564,0.00846624634436299,0.0102608614911153,65.2140184435502,65.0959850787274,0.441519155130648,0.00180993853223433,0.0643828135837963,0.0457428399503368,"OK"
15,500,1,88.2563217504508,0.266027550838467,0.10428547495138,0.0845014525503353,0.0117686384032742,0.274665407190614,64.7097030776606,47.4951392524262,88.2563217504508,0.266027550838467,0.890136328787433,0.900937547561349,"OK"
15,500,0.5,9.54565469240215,0.0377230531937238,0.0397237716657215,0.0300362233043148,0.0122016073057919,0.0494643786180704,62.6363506789894,60.2735162904652,9.54565469240215,0.0377230531937238,0.394497154954381,0.339190708597592,"OK"
15,500,0.25,0.484898150337494,0.00198741050783689,0.0109807564624476,0.00429247908413553,0.0133034411729234,0.0152644122819828,64.9360094438413,64.8069549363356,0.484898150337494,0.00198741050783692,0.174945107935761,0.0939420788301545,"OK"
15,500,0.1,0.375288384287049,0.00153885367711257,-0.00405895616343286,-0.00939067205549317,0.0143582435179156,0.0158750019591938,66.8113369778085,66.7085241062274,0.375288384287049,0.00153885367711261,0.0461697917202098,-0.0494818458374679,"OK"
16,500,1,113.541403527713,0.318006265956492,0.0947784293372813,0.11447751041596,0.0270306683664001,0.336441012409385,65.499276899935,44.6700964301364,113.541403527713,0.318006265956492,0.893487281458468,1.01510731204217,"OK"
16,500,0.5,19.5966043092991,0.0744844440723419,0.0367044061717806,0.0610806235387929,0.0261712434555201,0.0987063370083957,65.0973553488463,60.2486150251078,19.5966043092991,0.0744844440723419,0.403656283373984,0.501542473745239,"OK"
16,500,0.25,5.34143855047114,0.0214652293508091,0.0128267104666167,0.0356485725326997,0.0257600447136739,0.0466723287966169,64.7912333217293,63.4004746385566,5.34143855047114,0.0214652293508091,0.163147149818739,0.247951018724201,"OK"
16,500,0.1,1.56710564507723,0.00639459808754106,-0.00234285633967761,0.0203605793438318,0.0252892825027267,0.0315221657927405,64.7568089718329,64.3427152050264,1.56710564507723,0.00639459808754103,0.0193024394818719,0.0961298220476135,"OK"
17,500,1,116.33732223667,0.323305324510373,0.0966775704741589,0.117453233824875,0.0217766996256245,0.33804150119677,70.186383202864,47.4947518052527,116.33732223667,0.323305324510373,1.10193375697313,1.03998441023837,"OK"
17,500,0.5,32.7263982036327,0.118476722052854,0.0451602116871171,0.0780672203516645,0.024441231954609,0.140022236962547,67.7471039704847,59.7206491634878,32.7263982036327,0.118476722052854,0.609489984615966,0.581732031235229,"OK"
17,500,0.25,11.1357673920709,0.043732141427425,0.0209970728424831,0.0500273167324629,0.0236471613583872,0.0663451617809301,66.8049163783004,63.8833943271973,11.1357673920709,0.043732141427425,0.356786148388793,0.327922057081256,"OK"
17,500,0.1,3.95819967103353,0.0159954274147937,0.00611907046025374,0.0318599966959587,0.021323575809154,0.0369779235148685,65.9614088648358,64.9063279371608,3.95819967103353,0.0159954274147937,0.204486034788675,0.173054910753958,"OK"
18,500,1,93.7077798825986,0.277893291534447,0.100440126319896,0.0876519643278357,0.0166232149993892,0.289897026601771,65.3479210628943,47.1881721837934,93.7077798825986,0.277893291534447,1.0326682557663,0.990486024148657,"OK"
