"replication","tau","estimator","component_id","first_accepted_alpha","last_accepted_alpha","n_gridpoints"
3,0.1,"Oracle-GMM",3,10.2,11,5
3,0.1,"Oracle-GMM",4,11.4,11.6,2
3,0.1,"Oracle-GMM",5,12,13,6
3,0.1,"Oracle-GMM",6,13.4,13.8,3
3,0.1,"Oracle-GMM",7,14.6,14.8,2
3,0.1,"Oracle-GMM",8,15.2,16.4,7
3,0.1,"Oracle-GMM",9,16.8,17,2
3,0.1,"Oracle-GMM",10,17.4,17.4,1
3,0.1,"Oracle-GMM",11,18,22.4,23
3,0.1,"Oracle-GMM",12,23,23,1
3,0.1,"Oracle-GMM",13,23.4,23.4,1
3,0.1,"Oracle-GMM",14,23.8,24.6,5
3,0.1,"Oracle-GMM",15,25,40,76
3,0.1,"Full-GMM",1,-40,20.6,304
3,0.1,"Full-GMM",2,21,31.2,52
3,0.1,"Full-GMM",3,31.6,40,43
3,0.1,"DML-IVQR",1,-39,-38,6
3,0.1,"DML-IVQR",2,-37.6,-37.6,1
3,0.1,"DML-IVQR",3,-37.2,-37.2,1
3,0.1,"DML-IVQR",4,-36.6,-36.2,3
3,0.1,"DML-IVQR",5,-35.8,-35.8,1
3,0.1,"DML-IVQR",6,-35.4,-35.4,1
3,0.1,"DML-IVQR",7,-34.8,-34.8,1
3,0.1,"DML-IVQR",8,-34,-34,1
3,0.1,"DML-IVQR",9,-33.6,-33.6,1
3,0.1,"DML-IVQR",10,-31.6,-31.2,3
3,0.1,"DML-IVQR",11,-30.8,-27.8,16
3,0.1,"DML-IVQR",12,-27.4,-26.6,5
3,0.1,"DML-IVQR",13,-26.2,-24.4,10
3,0.1,"DML-IVQR",14,-24,-17.8,32
3,0.1,"DML-IVQR",15,-17.2,-15,12
3,0.1,"DML-IVQR",16,-14.2,-12.4,10
3,0.1,"DML-IVQR",17,-12,-8.2,20
3,0.1,"DML-IVQR",18,-7.6,-7.6,1
3,0.1,"DML-IVQR",19,-7.2,-6.2,6
3,0.1,"DML-IVQR",20,-5.8,-5,5
3,0.1,"DML-IVQR",21,-4.6,-1.4,17
3,0.1,"DML-IVQR",22,-1,-1,1
3,0.1,"DML-IVQR",23,-0.199999999999996,0.400000000000006,4
3,0.1,"DML-IVQR",24,0.800000000000004,5.2,23
3,0.1,"DML-IVQR",25,5.8,40,172
3,0.5,"Oracle-GMM",1,-40,40,401
3,0.5,"Full-GMM",1,-39,-39,1
3,0.5,"Full-GMM",2,-38.6,-38.6,1
3,0.5,"Full-GMM",3,-37.8,-37.4,3
3,0.5,"Full-GMM",4,-37,-37,1
