"sample_size","tau","estimator_code","estimator","source_authors","RMSE_authors","MAE_authors","BIAS_authors","source_replication","RMSE_replication","MAE_replication","BIAS_replication","RMSE_difference","MAE_difference","BIAS_difference"
500,0.25,"hdm","DML-IVQR","Authors",0.156215928401408,0.125436720062746,-0.0796897501960817,"Replication",0.161255745293484,0.129399982076864,-0.0894897501960817,0.00503981689207614,0.0039632620141179,-0.00979999999999998
500,0.25,"nonexact","GMM","Authors",0.178293935300836,0.117934696986666,-0.0254897501960817,"Replication",0.169335289796749,0.115665303013334,-0.0394897501960817,-0.00895864550408695,-0.00226939397333288,-0.014
500,0.5,"exact","oracle-GMM","Authors",0.0989949493661167,0.0716,0.00919999999999999,"Replication",0.102761860629321,0.0728,0,0.00376691126320437,0.00120000000000001,-0.00919999999999999
500,0.5,"fullgmm","full-GMM","Authors",0.162788205960997,0.1234,0.019,"Replication",0.173723918905832,0.1318,0.00539999999999996,0.0109357129448347,0.00839999999999999,-0.0136000000000001
500,0.5,"hdm","DML-IVQR","Authors",0.116876002669496,0.0846,-0.0185999999999999,"Replication",0.119582607431014,0.087,-0.0202,0.00270660476151813,0.00239999999999999,-0.00160000000000005
500,0.5,"nonexact","GMM","Authors",0.143666279968544,0.1016,0.034,"Replication",0.147173367155882,0.1026,0.0206,0.00350708718733805,0.000999999999999987,-0.0134000000000001
500,0.75,"exact","oracle-GMM","Authors",0.137434771716422,0.106608155035295,0.0552897501960816,"Replication",0.133450869868821,0.104673467010196,0.0348897501960816,-0.00398390184760136,-0.00193468802509844,-0.0204
500,0.75,"fullgmm","full-GMM","Authors",0.342168553571507,0.280648948134904,0.250289750196082,"Replication",0.33116512700636,0.266787727120002,0.229689750196082,-0.0110034265651468,-0.0138612210149022,-0.0206000000000002
500,0.75,"hdm","DML-IVQR","Authors",0.149505820205547,0.116734688025098,0.0516897501960816,"Replication",0.14836026242939,0.116,0.0332897501960816,-0.00114555777615674,-0.000734688025098434,-0.0184
500,0.75,"nonexact","GMM","Authors",0.240338501713403,0.171016310070589,0.129489750196082,"Replication",0.234355708473922,0.159885704043922,0.100089750196082,-0.0059827932394812,-0.0111306060266671,-0.0294000000000001
500,0.9,"exact","oracle-GMM","Authors",0.243798864266084,0.183939263401202,0.122551565544601,"Replication",0.273136735493212,0.196572375730704,0.132151565544601,0.0293378712271278,0.0126331123295023,0.00959999999999983
500,0.9,"fullgmm","full-GMM","Authors",0.944913982011852,0.803217790203606,0.789151565544601,"Replication",0.901408113032217,0.764575027776676,0.742151565544601,-0.043505868979635,-0.0386427624269295,-0.0470000000000002
500,0.9,"hdm","DML-IVQR","Authors",0.356760132751747,0.260873038742197,0.201151565544601,"Replication",0.374743768157347,0.262051657528732,0.213751565544601,0.0179836354056009,0.00117861878653519,0.0125999999999999
500,0.9,"nonexact","GMM","Authors",0.848316329776894,0.534057145588939,0.495951565544601,"Replication",0.879038720621546,0.551321289229333,0.514151565544601,0.0307223908446514,0.0172641436403944,0.0182
